Channel Title,Channel Username,ID,Message,Date,Media Path
Doctors Ethiopia,DoctorsET,864,"https://youtu.be/5DBoEm-8kmA?si=LDLuEecNfULJVDzL   👈👈

በቀን አንዴ ብቻ የሚባለው የቢዝነስ አማካሪ 

በ 10,000 ብር ብቻ የተጀመረ ቢዝነስ እስከ ሚሊየኖች ያየገው የፕራግማ ኢንቨስትመንት መስራች መርድ ብስራት 

ብላክ ማርኬት ዋጋ ማነው ሚተምነው ?

ኢትዮጵያ ውስጥ ቢዝነስ ለመጀመር ጥሩ ሰአት ነው ወይ ??

3 ቢዝነስ ስንጀምር የምንሰራው ስህተቶች !

አሁኑኑ ይመልከተቱ  👇👇

https://youtu.be/5DBoEm-8kmA?si=LDLuEecNfULJVDzL",2023-12-18 17:04:02+00:00,
Lobelia pharmacy and cosmetics,lobelia4cosmetics,12426,"PRENATAL 150 SOFTGELS 
Price 5500 birr 
Telegram https://t.me/lobelia4cosmetics
Msg👉 Lobelia pharmacy and cosmetics 
☎️ call 0911562031/0911587703
Adress:- Infront of Bole Medhanialem high school 
Open Monday - Monday from 8am until midnight ከሰኞ - እስከ ሰኞ  ከጧቱ 2:00 ስዓት - እስከ ምሽቱ 6:00 ሰዓት
🏍🏍🏍 የትራንስፖርት አማራጭ ከ70 - 200 ብር
For delivery option fees are from 70 birr - 200 birr",2024-10-11 16:31:05+00:00,photos\lobelia4cosmetics_12426.jpg
የጤና ወግ - የጤና መረጃ,yetenaweg,1181,,2024-10-06 16:26:40+00:00,
ETHIO-AMERICAN MEDICAL TRAININGS( CPD ) & HEALTH CONSULTANCY CENTER,EAHCI,2399,"💥 እሁድ ይጀምራል እንዳያመልጥዎ 💥
#Obstetric_Ultrasound_Training#Addis_Ababa

👉ጥቅምት 3/2017ጀምሮ ለ 1 ሳምንት ይሰጣል ።(ከክህሎቱ ባሻገር የ15CEU CPD Certificate  እንሰጣለን።)
---------------------------------------------
⏩ሰልጣኞች-Medical Doctors , Medical Rad.Technologists , HO, Bsc ,& Msc Midwifery.
⏩አሰልጣኞች-Rad & OBGYN specialists .
🚩የስልጠና ቦታ-በተመረጡ ሆስፒታሎች
✔አዘጋጅ-Ethio-American CPD center in collaboration with selected hospitals .
Call & Register 
  📲Dr shalom 0965412222
   📳 Selam      0968670067
   📳 Ekram      0965410000
   📳 Tinbit       0942404444
   📳 Office        0941404444
   📳 Office        0462124400
🏃For more info .follow us on telegram :-
t.me/eahci",2024-10-11 15:32:14+00:00,
Lobelia pharmacy and cosmetics,lobelia4cosmetics,12494,"IRON DROP 
Price 3500 birr 
Telegram https://t.me/lobelia4cosmetics
Msg👉 Lobelia pharmacy and cosmetics 
☎️ call 0911562031/0911587703
Adress:- Infront of Bole Medhanialem high school 
Open Monday - Monday from 8am until midnight ከሰኞ - እስከ ሰኞ  ከጧቱ 2:00 ስዓት - እስከ ምሽቱ 6:00 ሰዓት
🏍🏍🏍 የትራንስፖርት አማራጭ ከ70 - 200 ብር
For delivery option fees are from 70 birr - 200 birr",2024-10-14 15:12:32+00:00,photos\lobelia4cosmetics_12494.jpg
ETHIO-AMERICAN MEDICAL TRAININGS( CPD ) & HEALTH CONSULTANCY CENTER,EAHCI,2404,,2024-10-13 14:03:08+00:00,
Doctors Ethiopia,DoctorsET,864,"https://youtu.be/5DBoEm-8kmA?si=LDLuEecNfULJVDzL   👈👈

በቀን አንዴ ብቻ የሚባለው የቢዝነስ አማካሪ 

በ 10,000 ብር ብቻ የተጀመረ ቢዝነስ እስከ ሚሊየኖች ያየገው የፕራግማ ኢንቨስትመንት መስራች መርድ ብስራት 

ብላክ ማርኬት ዋጋ ማነው ሚተምነው ?

ኢትዮጵያ ውስጥ ቢዝነስ ለመጀመር ጥሩ ሰአት ነው ወይ ??

3 ቢዝነስ ስንጀምር የምንሰራው ስህተቶች !

አሁኑኑ ይመልከተቱ  👇👇

https://youtu.be/5DBoEm-8kmA?si=LDLuEecNfULJVDzL",2023-12-18 17:04:02+00:00,photos\DoctorsET_864.jpg
Doctors Ethiopia,DoctorsET,863,"ዶክተርስ ኢትዮጵያ በ አዲስ አቀራረብ በ ቴሌቪዥን ፕሮግራሙን ለመጀመር ከፋተኛ ዝግጅት በማድረግ ላይ ይገኛል ።

ዩሃንስ ግርማ ጆኒ ( በ ቲክቶክ ከ 500,000) በላይ ተከታይ ያገኘው ከ አሜሪካ ወደ ኢትዮጵያ 
ገንዳ ውስጥ ከመተኛት እስከ ከፋተኛ ተከፋይ በኢትዮጵያ ( 1 take production ) በመባል የሚታወቀው ዩሃንስ ግርማ ( ጆኒ) 

ከዲፕሬሽን እስከ ታዋቂነትን ያተረፈው ጆኒ 

አሁኑኑ ይመልከቱ 👇

https://youtu.be/gwVN5eJQpko?si=xARsSxIEdZtE91GY",2023-11-03 16:14:39+00:00,photos\DoctorsET_863.jpg
Doctors Ethiopia,DoctorsET,862,"ሞት በስኳር 

ለልጆቻችን የምናሲዘው ምሳቃ ሳናቀው እድሚያቸውን ይቀንሰው ይሆን 

የታሸገ ትክክለኛ ጁስ ኢትዮጵያ ውስጥ የለም...!

ሁሉም ወላጅ ሊያየው የሚገባ

የታሸጉ ጁሶች መጠጣት እራስን ለከፍተኛ ጉዳት እስከ ሞት ድረስ ማጋለጥ ነው !

ለሁሉም ኢኮኖሚ ጤናንም የሚጠብቅ አመጋገብ የቱ ነው??

https://youtu.be/oHiSRrNF7I0?si=Absgm414YSt_kjNq",2023-10-02 16:37:39+00:00,photos\DoctorsET_862.jpg
Doctors Ethiopia,DoctorsET,861,"ከ HIV የተፈወሰ ሰው አጋጥሟችሁ ያቃል ? ፈውስ እና ህክምና ?

ሙሉ ቪዲዮውን ተመልክተው ሃሳብ አስተያየቶን ያካፍሉን 👇👇👇👇

https://youtu.be/tTeErZxIh_Q?si=jKHyfWcC3sfXbC8L",2023-09-16 07:54:32+00:00,photos\DoctorsET_861.jpg
